% # columns="iteration, evaluation, sigma, beta, void,  sigvec==sigma_vec.scaling factors from diagonal decoding", seed=482033, Wed Oct 30 12:45:58 2024, <python>{}</python>
1 25 1.9059908914686856 1 0 0.13491448361639918 0.07887490659187367 1.0471870792734455 0.3333283333708331 0.33332666673333283 1.0471713715850641 2.0 2.0 2.0 2.0
2 50 1.9134936666119793 1 0 0.13491448361639918 0.07887490659187367 1.0471870792734455 0.3333283333708331 0.33332666673333283 1.0471713715850641 2.0 2.0 2.0 2.0
3 75 1.9644086485103793 1 0 0.13491448361639918 0.07887490659187367 1.0471870792734455 0.32711454320838673 0.3325401617792044 1.0471713715850641 2.0 2.0 2.0 2.0
4 100 2.1956734836722083 1 0 0.12345636845492038 0.07887490659187367 1.0471870792734455 0.27736455994547526 0.29223579612327694 0.9626968082443004 2.0 2.0 2.0 2.0
5 125 2.115148537000041 1 0 0.12345636845492038 0.07887490659187367 1.0471870792734455 0.27736455994547526 0.29223579612327694 0.9626968082443004 2.0 2.0 2.0 2.0
6 150 1.8114143096775308 1 0 0.12345636845492038 0.07887490659187367 1.0471870792734455 0.27736455994547526 0.29223579612327694 0.9626968082443004 2.0 2.0 2.0 2.0
7 175 1.8716368358440627 1 0 0.12345636845492038 0.07887490659187367 1.0471870792734455 0.27736455994547526 0.29223579612327694 0.9626968082443004 2.0 2.0 2.0 2.0
8 200 2.0475874729458865 1 0 0.12345636845492038 0.07887490659187367 1.0471870792734455 0.27736455994547526 0.2901893171558652 0.9626968082443004 2.0 2.0 2.0 2.0
9 225 2.1009887166821817 1 0 0.12345636845492038 0.07887490659187367 1.0471870792734455 0.27736455994547526 0.2821312617716239 0.9626968082443004 2.0 2.0 2.0 2.0
10 250 1.9671984804764913 1 0 0.12345636845492038 0.07887490659187367 1.0471870792734455 0.27736455994547526 0.2821312617716239 0.9626968082443004 2.0 2.0 2.0 2.0
11 275 1.7119005850800828 1 0 0.12345636845492038 0.07887490659187367 1.0471870792734455 0.27736455994547526 0.2821312617716239 0.9626968082443004 2.0 2.0 2.0 2.0
12 300 1.613645572700564 1 0 0.12345636845492038 0.07887490659187367 1.0471870792734455 0.27736455994547526 0.2821312617716239 0.9626968082443004 2.0 2.0 2.0 2.0
13 325 1.616114439259774 1 0 0.12345636845492038 0.07887490659187367 1.0471870792734455 0.27736455994547526 0.2821312617716239 0.9626968082443004 2.0 2.0 2.0 2.0
14 350 1.589615810761402 1 0 0.12345636845492038 0.07887490659187367 1.0471870792734455 0.27736455994547526 0.2821312617716239 0.9626968082443004 2.0 2.0 2.0 2.0
15 375 1.6073038820230627 1 0 0.12345636845492038 0.07887490659187367 1.0471870792734455 0.27736455994547526 0.2821312617716239 0.9626968082443004 2.0 2.0 2.0 2.0
16 400 1.6149194064657388 1 0 0.12345636845492038 0.07887490659187367 1.0471870792734455 0.27736455994547526 0.2821312617716239 0.9626968082443004 2.0 2.0 2.0 2.0
17 425 1.7424254573442535 1 0 0.12345636845492038 0.07887490659187367 1.0471870792734455 0.27736455994547526 0.2821312617716239 0.9626968082443004 2.0 2.0 2.0 2.0
18 450 1.7917256565981925 1 0 0.12345636845492038 0.07887490659187367 1.0471870792734455 0.27736455994547526 0.2821312617716239 0.9626968082443004 2.0 2.0 2.0 2.0
19 475 1.828395246550206 1 0 0.12345636845492038 0.07887490659187367 1.0471870792734455 0.27736455994547526 0.2821312617716239 0.9626968082443004 2.0 2.0 2.0 2.0
20 500 1.881411935173769 1 0 0.12345636845492038 0.07887490659187367 1.0471870792734455 0.27736455994547526 0.2821312617716239 0.9626968082443004 2.0 2.0 2.0 2.0
21 525 1.7459135576846665 1 0 0.12345636845492038 0.07887490659187367 1.0471870792734455 0.27736455994547526 0.2821312617716239 0.9626968082443004 2.0 2.0 2.0 2.0
22 550 1.7188897937858665 1 0 0.12345636845492038 0.07887490659187367 1.0471870792734455 0.27736455994547526 0.2821312617716239 0.9626968082443004 2.0 2.0 2.0 2.0
23 575 1.6175199297585217 1 0 0.12345636845492038 0.07887490659187367 1.0471870792734455 0.27736455994547526 0.2821312617716239 0.9626968082443004 2.0 2.0 2.0 2.0
24 600 1.4929100158667532 1 0 0.12345636845492038 0.07887490659187367 1.0471870792734455 0.27736455994547526 0.2821312617716239 0.9626968082443004 2.0 2.0 2.0 2.0
25 625 1.4259923080535444 1 0 0.12345636845492038 0.07887490659187367 1.0471870792734455 0.27736455994547526 0.2821312617716239 0.9626968082443004 2.0 2.0 2.0 2.0
26 650 1.4047725496455596 1 0 0.12345636845492038 0.07887490659187367 1.0471870792734455 0.27736455994547526 0.2821312617716239 0.9626968082443004 2.0 2.0 2.0 2.0
27 675 1.2881748054563762 1 0 0.12345636845492038 0.07887490659187367 1.0471870792734455 0.27736455994547526 0.2821312617716239 0.9626968082443004 2.0 2.0 2.0 2.0
28 700 1.3285251641734523 1 0 0.12345636845492038 0.07887490659187367 1.0471870792734455 0.27736455994547526 0.2821312617716239 0.9626968082443004 2.0 2.0 2.0 2.0
29 725 1.3242746657138922 1 0 0.12345636845492038 0.07887490659187367 1.0471870792734455 0.27736455994547526 0.2821312617716239 0.9626968082443004 2.0 2.0 2.0 2.0
30 750 1.329194325081017 1 0 0.12345636845492038 0.07887490659187367 1.0471870792734455 0.27736455994547526 0.2821312617716239 0.9626968082443004 2.0 2.0 2.0 2.0
31 775 1.29777855080938 1 0 0.12345636845492038 0.07887490659187367 1.0471870792734455 0.27736455994547526 0.2821312617716239 0.9626968082443004 2.0 2.0 2.0 2.0
