% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, further/more values", seed=482033, Wed Oct 30 12:45:58 2024, <python>{}</python>
1 25 1.9059908914686856 1.0000450010125153 -84.26948112000848 -8.4269481120008479e+01 -0.999334979581529 -0.7942544746787218 42.78852232189438   
2 50 1.9134936666119793 1.234827379232542 -84.26948112000848 -8.1471824974278704e+01 -57.62421593261701 -0.9323497587759011 53.24030061850952   
3 75 1.9644086485103793 1.3107573050177919 -84.26948112000848 -8.1347484033317244e+01 -33.88585229471142 -0.9283723354631738 50.96700527293706   
4 100 2.1956734836722083 1.393388842225853 -84.26948112000848 -7.6919086171022698e+01 -57.61145779620125 -0.9870442434274667 42.481742920035956   
5 125 2.115148537000041 1.6204780925347397 -84.26948112000848 -7.6677714910555892e+01 -55.77705669264724 -0.9824365979461342 70.81533340227462   
6 150 1.8114143096775308 1.88500798810065 -84.4737793324463 -8.4473779332446298e+01 -59.656073633955316 -0.9806329504651194 39.506085626719766   
7 175 1.8716368358440627 2.0010691585422475 -84.4737793324463 -8.4284043116934455e+01 -69.13835958360137 -0.829470174528756 29.183319976913914   
8 200 2.0475874729458865 2.1371785026043493 -84.4737793324463 -8.1857447380638050e+01 -66.52689062648656 -0.9916362971016586 16.34153652716708   
9 225 2.1009887166821817 2.296062812547163 -84.4737793324463 -8.2512761817383478e+01 -61.633408312180464 -0.9803497190158793 72.28402826311837   
10 250 1.9671984804764913 2.501473188049466 -84.4737793324463 -7.5663482633966026e+01 -26.89548345978238 -0.981619882645292 60.80792965925166   
11 275 1.7119005850800828 2.7323955913462297 -84.4737793324463 -8.1108522573568877e+01 -63.05146568304233 -0.9880819184905484 40.99669619392293   
12 300 1.613645572700564 2.7707280015494646 -84.4737793324463 -7.8692782702739152e+01 -65.91683549970334 -0.9864272755581837 21.952159043587365   
13 325 1.616114439259774 3.0950630897663145 -85.8759804684978 -8.5875980468497801e+01 -65.32588196224009 -28.046179542270327 18.63132467695131   
14 350 1.589615810761402 2.9926708553809767 -85.8759804684978 -8.3216893928106373e+01 -68.84629942602152 -0.9920790748966687 13.507597839180008   
15 375 1.6073038820230627 3.022462293946546 -85.8759804684978 -8.2918553968864700e+01 -73.89346068383281 -3.1776447384629996 21.61914340798502   
16 400 1.6149194064657388 3.3154094842431934 -85.8759804684978 -8.2610531133558666e+01 -69.90025849756265 -1.0000498773387319 15.456337637670316   
17 425 1.7424254573442535 3.27618417581709 -85.8759804684978 -8.4659738481370468e+01 -68.67881507632488 -0.9899599216136531 18.196545751825056   
18 450 1.7917256565981925 3.37913260396385 -85.8759804684978 -8.3239880063203231e+01 -67.75256473793316 -7.74871221410457 23.617605561850866   
19 475 1.828395246550206 3.464832420280682 -85.8759804684978 -8.3549614965955243e+01 -56.65372612994097 -0.9805795563729343 68.06818840547801   
20 500 1.881411935173769 3.553467978821649 -85.8759804684978 -8.3052924767461505e+01 -62.22326285238415 -0.974660331831079 29.752695883740557   
21 525 1.7459135576846665 3.8144537802005987 -85.8759804684978 -8.4153081076399843e+01 -71.94897846290023 -0.9903943883564047 40.55602728692466   
22 550 1.7188897937858665 3.802032406003681 -85.8759804684978 -8.4491757856568725e+01 -74.87366116940193 -8.770183913673891 13.238896403796204   
23 575 1.6175199297585217 3.9855729898185666 -85.8759804684978 -8.3896526203143992e+01 -72.95146526729593 -34.83080473216337 13.139162770698704   
24 600 1.4929100158667532 4.441160106338474 -85.8759804684978 -8.5360391924523839e+01 -77.52844431207417 -37.31719731329747 13.212104121438827   
25 625 1.4259923080535444 4.92476926307706 -85.8759804684978 -8.5679775231346454e+01 -77.1049887139827 -20.496394096888118 15.875416043132176   
26 650 1.4047725496455596 5.373515463776285 -85.8759804684978 -8.5664439280372179e+01 -81.5237424074582 -17.654447148668783 12.485142228011895   
27 675 1.2881748054563762 6.068481870210502 -85.8759804684978 -8.5041345452980991e+01 -81.45227782715354 -45.38254365628694 10.814625714721728   
28 700 1.3285251641734523 6.785655248850136 -85.8759804684978 -8.5386362847537484e+01 -83.34883576485043 -73.33034560173385 4.240532881855785   
29 725 1.3242746657138922 7.189705736236155 -85.93484693493053 -8.5934846934930533e+01 -83.68063059827455 -6.107719211955826 4.4507457635411924   
30 750 1.329194325081017 7.897623777487038 -85.93484693493053 -8.5606733901611804e+01 -83.16658531509209 -68.67682316451338 2.74906119118684   
31 775 1.29777855080938 8.50631191096278 -85.93484693493053 -8.5833055460542795e+01 -82.47917272908408 -0.9850958864126964 4.254651494485287   
32 800 1.1964642981572313 9.653078091349654 -85.93484693493053 -8.5782836171354418e+01 -84.13492467452714 -66.41706167250682 1.9411658448859441   
33 825 1.237585324861994 11.23489957183071 -86.04729254065333 -8.6047292540653331e+01 -84.47229554175118 -80.62113838849784 1.3170102261752987   
34 850 1.3352397927937443 11.797181839844056 -86.04729254065333 -8.5929563727896834e+01 -84.3618806954756 -69.27344391665291 1.6781158113411152   
35 875 1.2793954639332645 12.180552323783903 -86.04729254065333 -8.6044726725152941e+01 -84.2857598957303 -0.9852816063055553 4.383527146472574   
36 900 1.1227478117218948 12.178998586201514 -86.27957268004327 -8.6279572680043273e+01 -83.77935726884749 -0.9929746087443463 2.6430203940358155   
37 925 1.1193764912480169 14.347825920952957 -86.27957268004327 -8.6063337490597547e+01 -84.70754867064524 -0.9911578670614831 2.617823647160435   
38 950 1.0890652422582372 14.76538190739906 -86.27957268004327 -8.6148461481659226e+01 -84.50888120617418 -0.988237121120588 2.6576704437751175   
