Ω0,Ω1,Ω2,ω1,ω2
182474.19951483473,7595974.003708249,339702.28455225774,0.0,0.0
339702.28455225774,7595974.003708249,339702.28455225774,0.0,0.0
632405.2520128551,7595974.003708249,339702.28455225774,0.0,0.0
1177314.433727098,7595974.003708249,339702.28455225774,0.0,0.0
2191742.1960847066,7595974.003708249,339702.28455225774,0.0,0.0
4080247.142550296,7595974.003708249,339702.28455225774,0.0,0.0
7595974.003708249,7595974.003708249,339702.28455225774,0.0,0.0
14141011.328286296,7595974.003708249,339702.28455225774,0.0,0.0
26325551.047054615,7595974.003708249,339702.28455225774,0.0,0.0
49008845.39600078,7595974.003708249,339702.28455225774,0.0,0.0
98017.69079200155,14141011.328286296,339702.28455225774,0.0,0.0
182474.19951483473,14141011.328286296,339702.28455225774,0.0,0.0
339702.28455225774,14141011.328286296,339702.28455225774,0.0,0.0
632405.2520128551,14141011.328286296,339702.28455225774,0.0,0.0
1177314.433727098,14141011.328286296,339702.28455225774,0.0,0.0
2191742.1960847066,14141011.328286296,339702.28455225774,0.0,0.0
4080247.142550296,14141011.328286296,339702.28455225774,0.0,0.0
7595974.003708249,14141011.328286296,339702.28455225774,0.0,0.0
14141011.328286296,14141011.328286296,339702.28455225774,0.0,0.0
26325551.047054615,14141011.328286296,339702.28455225774,0.0,0.0
49008845.39600078,14141011.328286296,339702.28455225774,0.0,0.0
98017.69079200155,26325551.047054615,339702.28455225774,0.0,0.0
182474.19951483473,26325551.047054615,339702.28455225774,0.0,0.0
339702.28455225774,26325551.047054615,339702.28455225774,0.0,0.0
632405.2520128551,26325551.047054615,339702.28455225774,0.0,0.0
1177314.433727098,26325551.047054615,339702.28455225774,0.0,0.0
2191742.1960847066,26325551.047054615,339702.28455225774,0.0,0.0
4080247.142550296,26325551.047054615,339702.28455225774,0.0,0.0
7595974.003708249,26325551.047054615,339702.28455225774,0.0,0.0
14141011.328286296,26325551.047054615,339702.28455225774,0.0,0.0
26325551.047054615,26325551.047054615,339702.28455225774,0.0,0.0
49008845.39600078,26325551.047054615,339702.28455225774,0.0,0.0
98017.69079200155,49008845.39600078,339702.28455225774,0.0,0.0
182474.19951483473,49008845.39600078,339702.28455225774,0.0,0.0
